標準化,半減期,コストbp,期間,AR,RISK,R/R,MDD,t(NW),回転率,損益分岐bp,N
z化,3.0,0.0,2026〜,-56.156,18.682,-3.006,31.43,-2.645,1.696,-13.142,159.0
z化,3.0,5.0,全期間,-4.342,11.244,-0.386,65.71,-1.19,1.218,3.585,2771.0
z化,3.0,5.0,〜2023,0.868,10.3,0.084,44.97,0.233,1.215,5.284,2144.0
z化,3.0,5.0,2024〜,-22.157,13.953,-1.588,48.338,-2.386,1.226,-2.171,627.0
z化,3.0,5.0,2026〜,-77.52,18.764,-4.131,39.995,-3.628,1.696,-13.142,159.0
z化,3.0,10.0,全期間,-19.685,11.411,-1.725,91.836,-5.248,1.218,3.585,2771.0
z化,3.0,10.0,〜2023,-14.444,10.462,-1.381,78.737,-3.769,1.215,5.284,2144.0
z化,3.0,10.0,2024〜,-37.607,14.137,-2.66,62.27,-3.959,1.226,-2.171,627.0
z化,3.0,10.0,2026〜,-98.885,18.92,-5.226,47.598,-4.565,1.696,-13.142,159.0
z化,3.0,20.0,全期間,-50.373,12.026,-4.189,99.648,-12.269,1.218,3.585,2771.0
z化,3.0,20.0,〜2023,-45.07,11.088,-4.065,98.014,-10.66,1.215,5.284,2144.0
z化,3.0,20.0,2024〜,-68.506,14.744,-4.647,82.578,-6.693,1.226,-2.171,627.0
z化,3.0,20.0,2026〜,-141.614,19.446,-7.282,60.061,-6.244,1.696,-13.142,159.0
z化,5.0,0.0,全期間,5.637,10.911,0.517,37.439,1.628,1.0,2.237,2771.0
z化,5.0,0.0,〜2023,10.692,10.065,1.062,21.619,2.985,0.996,4.26,2144.0
z化,5.0,0.0,2024〜,-11.651,13.36,-0.872,37.439,-1.327,1.013,-4.564,627.0
z化,5.0,0.0,2026〜,-61.451,17.186,-3.576,34.152,-3.457,1.426,-17.096,159.0
z化,5.0,5.0,全期間,-6.961,10.971,-0.634,70.66,-1.979,1.0,2.237,2771.0
z化,5.0,5.0,〜2023,-1.856,10.125,-0.183,50.516,-0.509,0.996,4.26,2144.0
z化,5.0,5.0,2024〜,-24.416,13.42,-1.819,49.234,-2.753,1.013,-4.564,627.0
z化,5.0,5.0,2026〜,-79.424,17.273,-4.598,40.801,-4.401,1.426,-17.096,159.0
z化,5.0,10.0,全期間,-19.558,11.113,-1.76,91.046,-5.383,1.0,2.237,2771.0
z化,5.0,10.0,〜2023,-14.404,10.272,-1.402,76.97,-3.807,0.996,4.26,2144.0
z化,5.0,10.0,2024〜,-37.181,13.551,-2.744,61.745,-4.103,1.013,-4.564,627.0
z化,5.0,10.0,2026〜,-97.397,17.43,-5.588,47.011,-5.265,1.426,-17.096,159.0
z化,5.0,20.0,全期間,-44.753,11.628,-3.849,99.352,-11.128,1.0,2.237,2771.0
z化,5.0,20.0,〜2023,-39.501,10.812,-3.654,96.845,-9.329,0.996,4.26,2144.0
z化,5.0,20.0,2024〜,-62.711,14.016,-4.474,79.766,-6.44,1.013,-4.564,627.0
z化,5.0,20.0,2026〜,-133.343,17.941,-7.432,57.833,-6.708,1.426,-17.096,159.0
z化,10.0,0.0,全期間,2.308,10.839,0.213,26.082,0.706,0.754,1.215,2771.0
z化,10.0,0.0,〜2023,5.094,10.051,0.507,17.791,1.456,0.777,2.6,2144.0
z化,10.0,0.0,2024〜,-7.217,13.173,-0.548,26.082,-0.914,0.675,-4.243,627.0
z化,10.0,0.0,2026〜,-36.616,16.763,-2.184,22.824,-1.984,0.85,-17.088,159.0
z化,10.0,5.0,全期間,-7.195,10.883,-0.661,68.079,-2.179,0.754,1.215,2771.0
z化,10.0,5.0,〜2023,-4.701,10.112,-0.465,54.27,-1.32,0.777,2.6,2144.0
z化,10.0,5.0,2024〜,-15.721,13.179,-1.193,37.334,-2.001,0.675,-4.243,627.0
z化,10.0,5.0,2026〜,-47.33,16.814,-2.815,27.622,-2.53,0.85,-17.088,159.0
z化,10.0,10.0,全期間,-16.698,10.984,-1.52,87.873,-4.919,0.754,1.215,2771.0
z化,10.0,10.0,〜2023,-14.497,10.235,-1.416,77.439,-3.931,0.777,2.6,2144.0
z化,10.0,10.0,2024〜,-24.226,13.226,-1.832,47.448,-3.062,0.675,-4.243,627.0
z化,10.0,10.0,2026〜,-58.044,16.9,-3.435,32.125,-3.041,0.85,-17.088,159.0
z化,10.0,20.0,全期間,-35.705,11.351,-3.146,98.264,-9.569,0.754,1.215,2771.0
z化,10.0,20.0,〜2023,-34.088,10.663,-3.197,95.062,-8.307,0.777,2.6,2144.0
z化,10.0,20.0,2024〜,-41.235,13.445,-3.067,65.436,-4.964,0.675,-4.243,627.0
z化,10.0,20.0,2026〜,-79.472,17.179,-4.626,40.627,-3.933,0.85,-17.088,159.0
