,us_ew_cc,jp_ew_cc_prev,exec_date,jp_ew_oc_next,pred,pred_up,actual_up,correct,timed_return,beta_const,beta_us_ew_cc,beta_jp_ew_cc_prev
2024-06-18,0.001247345348307858,0.0017056909102264645,2024-06-20 00:00:00,0.0006618212064447506,-3.274449821990053e-05,False,True,False,-0.0006618212064447506,4.90765461405827e-05,-0.030066682437777464,-0.02598214460601652
2024-06-20,0.002442783354057282,-0.001450209748939038,2024-06-21 00:00:00,-0.0026629541697752446,-2.2704119466620646e-05,False,False,True,0.0026629541697752446,1.3520822103088942e-05,-0.027091444872932136,-0.02065465980018638
2024-06-21,0.00017350756867282803,0.0013199481004549864,2024-06-24 00:00:00,0.003977954994608597,-7.242544065559433e-05,False,True,False,-0.003977954994608597,-3.500710480075798e-05,-0.034591412660315575,-0.02380128729027849
2024-06-24,0.005194790938213087,0.005075399999362658,2024-06-25 00:00:00,0.012120778673158606,-0.000336826809588499,False,True,False,-0.012120778673158606,-2.1888745315345212e-05,-0.03675010331224432,-0.02443727797294541
2024-06-25,-0.0030884695771693405,0.016660087138275298,2024-06-26 00:00:00,0.0004543949906305042,-0.00048214471320660445,False,True,False,-0.0004543949906305042,-2.782709077192781e-05,-0.02790402176306076,-0.032442708146994424
2024-06-26,-0.0015621669210676174,0.0031848637803853267,2024-06-27 00:00:00,-0.004696760340613334,-3.5681406926211246e-05,False,False,True,0.004696760340613334,1.173147728204409e-05,-0.025368423375384398,-0.027330084439086542
2024-06-27,0.0014977606996470722,-0.003111788905384791,2024-06-28 00:00:00,-0.0031948344188054405,7.179996509299925e-05,True,False,False,-0.0031948344188054405,1.2849930577678224e-05,-0.022504341789199425,-0.02977584792409038
2024-06-28,-0.001974571999376673,0.005133848713161347,2024-07-01 00:00:00,-0.0002029344394580886,-0.00011309760870333968,False,False,True,0.0002029344394580886,-2.1381486506286626e-05,-0.02409154784738691,-0.02713103283333334
2024-07-01,-0.004169511516075616,0.006553067414956158,2024-07-02 00:00:00,0.0081135448065411,-9.954170041376141e-05,False,True,False,-0.0081135448065411,-2.1837456472999734e-05,-0.024064218472423092,-0.027168998686103167
2024-07-02,0.005841043287197751,0.009240411676668166,2024-07-03 00:00:00,0.0019911754870558713,-0.00041575071973377886,False,True,False,-0.0019911754870558713,-6.554862226943495e-06,-0.029537851998641874,-0.025611844326102792
2024-07-03,0.0025674282553109977,0.0036643807761029628,2024-07-05 00:00:00,-0.00801584564305583,-0.00019832532032964276,False,False,True,0.00801584564305583,-1.8676756907697098e-05,-0.032171220020531854,-0.02648503800869147
2024-07-05,0.0034714290172252523,-0.006049438247888721,2024-07-08 00:00:00,-0.004364903543198576,2.741673656608232e-06,True,False,False,-0.004364903543198576,-5.294679727570955e-05,-0.03346307155247598,-0.02840811683383085
2024-07-08,-0.000503956298968953,-0.0054199962824782654,2024-07-09 00:00:00,0.004952007763079959,7.30685740987139e-05,True,True,True,0.004952007763079959,-9.069611817302163e-05,-0.04018591009332259,-0.026478385273870544
2024-07-09,-0.00041944032551149475,0.006473489511983847,2024-07-10 00:00:00,0.0050067539135257855,-0.0002239454347372207,False,True,False,-0.0050067539135257855,-6.151432716010759e-05,-0.040929252712378475,-0.02774369006472618
2024-07-10,0.008329064688139058,0.004083572319676213,2024-07-11 00:00:00,-0.0010241114817308911,-0.00045499710180117964,False,False,True,0.0010241114817308911,-0.00010652650355388025,-0.030395105908494438,-0.02333931848675292
2024-07-11,0.0037720434638075606,-0.004902410042227036,2024-07-12 00:00:00,-0.0009680167212664057,-0.00011046661009061247,False,False,True,0.0009680167212664057,-0.00011197868727723454,-0.030636007843048124,-0.023880587164219744
2024-07-12,0.005934607914512401,0.0075944470171508145,2024-07-16 00:00:00,-0.003075855430983334,-0.0004329669834499214,False,False,True,0.003075855430983334,-5.633181265880237e-05,-0.03301514903253542,-0.023794122947429785
2024-07-16,0.0107788393879598,-0.001634265844904154,2024-07-17 00:00:00,0.002501705699967425,-0.00039388060771312563,False,True,False,-0.002501705699967425,-6.751172603662733e-05,-0.033976247180582994,-0.024387482497356606
2024-07-17,-0.003738480882408246,0.006512194939687727,2024-07-18 00:00:00,0.005025696107218891,-9.528370295110744e-05,False,True,False,-0.005025696107218891,-4.554835222092006e-05,-0.0305710847276984,-0.02518732440571502
2024-07-18,-0.0068658695412988635,-0.008809330286785584,2024-07-19 00:00:00,-0.0033799073114773102,0.00040788638441436714,True,False,False,-0.0033799073114773102,-6.498987139532387e-05,-0.04172944973152959,-0.02115567152731006
2024-07-19,-0.005709804790097689,-0.006029889245559812,2024-07-22 00:00:00,-0.006728716584203265,0.00025497739291704426,True,False,False,-0.006728716584203265,-6.940142543625885e-05,-0.03992250510363897,-0.015991853838916315
2024-07-22,0.006948029016756174,-0.009927304988844832,2024-07-23 00:00:00,-0.0011046235950903632,-0.00019752044923663118,False,False,True,0.0011046235950903632,-9.255883264601216e-05,-0.03480000936240389,-0.013783182686187584
2024-07-23,-0.003086574441464772,0.002687955232070856,2024-07-24 00:00:00,-0.016300103707755417,-2.5805024415700948e-05,False,False,True,0.016300103707755417,-0.00012187881275804213,-0.04124944380428161,-0.011624334459067426
2024-07-24,-0.01375402660121589,-0.017777280692744795,2024-07-25 00:00:00,-0.007683850309822986,0.0005679583768140415,True,False,False,-0.007683850309822986,-0.0001965815801088322,-0.03649642593913573,-0.014769814812782549
2024-07-25,-0.0012944402485764602,-0.021777104550048748,2024-07-26 00:00:00,-0.00033190172223761987,-1.2140925949287137e-05,False,False,True,0.00033190172223761987,-0.0002160393395217224,-0.02737007496679777,-0.007736082937090005
2024-07-26,0.0124723345662526,-0.0017501619206476775,2024-07-29 00:00:00,0.013960106432194122,-0.0005480927130357674,False,True,False,-0.013960106432194122,-0.000215321205801069,-0.027750648428505588,-0.007624359917016817
2024-07-29,0.0020932420312165245,0.023308822391249207,2024-07-30 00:00:00,-0.00038994830395830567,-0.00044409694297483087,False,False,True,0.00038994830395830567,-0.00014125520956028461,-0.012247424606972965,-0.011892703320659628
2024-07-30,0.0006081592723456885,-0.0043224887844939075,2024-07-31 00:00:00,0.02282145069956037,-5.306337911277953e-05,False,True,False,-0.02282145069956037,-0.00010616832983019852,-0.009944882134409298,-0.013684945398133828
2024-07-31,0.008916328922927345,0.016544783105461074,2024-08-01 00:00:00,-0.0341194151277065,-0.00036617854400473757,False,False,True,0.0341194151277065,1.8356412926275856e-05,-0.002805092890872961,-0.02173034386518817
